location,date,vaccine,total_vaccinations
Austria,08-01-21,Johnson&Johnson,0
Austria,08-01-21,Moderna,0
Austria,08-01-21,Oxford/AstraZeneca,0
Austria,08-01-21,Pfizer/BioNTech,31020
Austria,15-01-21,Johnson&Johnson,0
Austria,15-01-21,Moderna,90
Austria,15-01-21,Oxford/AstraZeneca,0
Austria,15-01-21,Pfizer/BioNTech,115720
Austria,22-01-21,Johnson&Johnson,0
Austria,22-01-21,Moderna,304
Austria,22-01-21,Oxford/AstraZeneca,0
Austria,22-01-21,Pfizer/BioNTech,213121
Austria,29-01-21,Johnson&Johnson,0
Austria,29-01-21,Moderna,4189
Austria,29-01-21,Oxford/AstraZeneca,0
Austria,29-01-21,Pfizer/BioNTech,257804
Austria,05-02-21,Johnson&Johnson,0
Austria,05-02-21,Moderna,5875
Austria,05-02-21,Oxford/AstraZeneca,2
Austria,05-02-21,Pfizer/BioNTech,353299
Austria,12-02-21,Johnson&Johnson,0
Austria,12-02-21,Moderna,9952
Austria,12-02-21,Oxford/AstraZeneca,10775
Austria,12-02-21,Pfizer/BioNTech,454713
Austria,19-02-21,Johnson&Johnson,0
Austria,19-02-21,Moderna,14072
Austria,19-02-21,Oxford/AstraZeneca,43527
Austria,19-02-21,Pfizer/BioNTech,520337
Austria,26-02-21,Johnson&Johnson,0
Austria,26-02-21,Moderna,22382
Austria,26-02-21,Oxford/AstraZeneca,101280
Austria,26-02-21,Pfizer/BioNTech,581404
Austria,05-03-21,Johnson&Johnson,0
Austria,05-03-21,Moderna,31671
Austria,05-03-21,Oxford/AstraZeneca,156080
Austria,05-03-21,Pfizer/BioNTech,685700
Austria,12-03-21,Johnson&Johnson,0
Austria,12-03-21,Moderna,47002
Austria,12-03-21,Oxford/AstraZeneca,234640
Austria,12-03-21,Pfizer/BioNTech,848278
Austria,19-03-21,Johnson&Johnson,14
Austria,19-03-21,Moderna,78740
Austria,19-03-21,Oxford/AstraZeneca,307819
Austria,19-03-21,Pfizer/BioNTech,980603
Austria,26-03-21,Johnson&Johnson,26
Austria,26-03-21,Moderna,104095
Austria,26-03-21,Oxford/AstraZeneca,383048
Austria,26-03-21,Pfizer/BioNTech,1126465
Austria,02-04-21,Johnson&Johnson,42
Austria,02-04-21,Moderna,140369
Austria,02-04-21,Oxford/AstraZeneca,421570
Austria,02-04-21,Pfizer/BioNTech,1274186
Austria,09-04-21,Johnson&Johnson,79
Austria,09-04-21,Moderna,179823
Austria,09-04-21,Oxford/AstraZeneca,511855
Austria,09-04-21,Pfizer/BioNTech,1494845
Austria,16-04-21,Johnson&Johnson,84
Austria,16-04-21,Moderna,222230
Austria,16-04-21,Oxford/AstraZeneca,607668
Austria,16-04-21,Pfizer/BioNTech,1727969
Austria,23-04-21,Johnson&Johnson,89
Austria,23-04-21,Moderna,259489
Austria,23-04-21,Oxford/AstraZeneca,656553
Austria,23-04-21,Pfizer/BioNTech,1990886
Austria,30-04-21,Johnson&Johnson,346
Austria,30-04-21,Moderna,298357
Austria,30-04-21,Oxford/AstraZeneca,698956
Austria,30-04-21,Pfizer/BioNTech,2263721
Austria,07-05-21,Johnson&Johnson,6461
Austria,07-05-21,Moderna,347497
Austria,07-05-21,Oxford/AstraZeneca,761871
Austria,07-05-21,Pfizer/BioNTech,2593371
Austria,14-05-21,Johnson&Johnson,13432
Austria,14-05-21,Moderna,397241
Austria,14-05-21,Oxford/AstraZeneca,825944
Austria,14-05-21,Pfizer/BioNTech,2892072
Austria,21-05-21,Johnson&Johnson,25667
Austria,21-05-21,Moderna,465043
Austria,21-05-21,Oxford/AstraZeneca,903432
Austria,21-05-21,Pfizer/BioNTech,3268778
Austria,28-05-21,Johnson&Johnson,37798
Austria,28-05-21,Moderna,518473
Austria,28-05-21,Oxford/AstraZeneca,986124
Austria,28-05-21,Pfizer/BioNTech,3602885
Austria,04-06-21,Johnson&Johnson,57766
Austria,04-06-21,Moderna,573645
Austria,04-06-21,Oxford/AstraZeneca,1054564
Austria,04-06-21,Pfizer/BioNTech,4026934
Austria,11-06-21,Johnson&Johnson,79301
Austria,11-06-21,Moderna,636369
Austria,11-06-21,Oxford/AstraZeneca,1149646
Austria,11-06-21,Pfizer/BioNTech,4463981
Austria,18-06-21,Johnson&Johnson,94169
Austria,18-06-21,Moderna,685809
Austria,18-06-21,Oxford/AstraZeneca,1201906
Austria,18-06-21,Pfizer/BioNTech,4916995
Austria,25-06-21,Johnson&Johnson,102662
Austria,25-06-21,Moderna,741323
Austria,25-06-21,Oxford/AstraZeneca,1275654
Austria,25-06-21,Pfizer/BioNTech,5359938
Austria,02-07-21,Johnson&Johnson,127926
Austria,02-07-21,Moderna,801121
Austria,02-07-21,Oxford/AstraZeneca,1383231
Austria,02-07-21,Pfizer/BioNTech,5749049
Austria,09-07-21,Johnson&Johnson,151797
Austria,09-07-21,Moderna,851196
Austria,09-07-21,Oxford/AstraZeneca,1450798
Austria,09-07-21,Pfizer/BioNTech,6074049
Austria,16-07-21,Johnson&Johnson,170904
Austria,16-07-21,Moderna,895366
Austria,16-07-21,Oxford/AstraZeneca,1502201
Austria,16-07-21,Pfizer/BioNTech,6343691
Austria,23-07-21,Johnson&Johnson,187129
Austria,23-07-21,Moderna,941491
Austria,23-07-21,Oxford/AstraZeneca,1531802
Austria,23-07-21,Pfizer/BioNTech,6588985
Austria,30-07-21,Johnson&Johnson,198845
Austria,30-07-21,Moderna,959985
Austria,30-07-21,Oxford/AstraZeneca,1558102
Austria,30-07-21,Pfizer/BioNTech,6795565
Austria,06-08-21,Johnson&Johnson,211849
Austria,06-08-21,Moderna,975804
Austria,06-08-21,Oxford/AstraZeneca,1572363
Austria,06-08-21,Pfizer/BioNTech,6948170
Belgium,08-01-21,Pfizer/BioNTech,27854
Belgium,15-01-21,Moderna,21
Belgium,15-01-21,Pfizer/BioNTech,126426
Belgium,22-01-21,Moderna,4469
Belgium,22-01-21,Pfizer/BioNTech,243931
Belgium,29-01-21,Moderna,6152
Belgium,29-01-21,Pfizer/BioNTech,333321
Belgium,05-02-21,Moderna,15840
Belgium,05-02-21,Oxford/AstraZeneca,0
Belgium,05-02-21,Pfizer/BioNTech,461948
Belgium,12-02-21,Moderna,25357
Belgium,12-02-21,Oxford/AstraZeneca,331
Belgium,12-02-21,Pfizer/BioNTech,597063
Belgium,19-02-21,Moderna,30126
Belgium,19-02-21,Oxford/AstraZeneca,10644
Belgium,19-02-21,Pfizer/BioNTech,697378
Belgium,26-02-21,Moderna,32556
Belgium,26-02-21,Oxford/AstraZeneca,45055
Belgium,26-02-21,Pfizer/BioNTech,785598
Belgium,05-03-21,Moderna,51279
Belgium,05-03-21,Oxford/AstraZeneca,109636
Belgium,05-03-21,Pfizer/BioNTech,874007
Belgium,12-03-21,Moderna,67104
Belgium,12-03-21,Oxford/AstraZeneca,190487
Belgium,12-03-21,Pfizer/BioNTech,970021
Belgium,19-03-21,Moderna,89503
Belgium,19-03-21,Oxford/AstraZeneca,350065
Belgium,19-03-21,Pfizer/BioNTech,1080012
Belgium,26-03-21,Moderna,99739
Belgium,26-03-21,Oxford/AstraZeneca,460456
Belgium,26-03-21,Pfizer/BioNTech,1275901
Belgium,02-04-21,Moderna,127438
Belgium,02-04-21,Oxford/AstraZeneca,520266
Belgium,02-04-21,Pfizer/BioNTech,1534031
Belgium,09-04-21,Moderna,174508
Belgium,09-04-21,Oxford/AstraZeneca,599689
Belgium,09-04-21,Pfizer/BioNTech,1851750
Belgium,16-04-21,Johnson&Johnson,0
Belgium,16-04-21,Moderna,208944
Belgium,16-04-21,Oxford/AstraZeneca,780397
Belgium,16-04-21,Pfizer/BioNTech,2128618
Belgium,23-04-21,Moderna,260132
Belgium,23-04-21,Oxford/AstraZeneca,837176
Belgium,23-04-21,Pfizer/BioNTech,2445156
Belgium,30-04-21,Johnson&Johnson,2944
Belgium,30-04-21,Moderna,287061
Belgium,30-04-21,Oxford/AstraZeneca,902481
Belgium,30-04-21,Pfizer/BioNTech,2800393
Belgium,07-05-21,Johnson&Johnson,23734
Belgium,07-05-21,Moderna,344713
Belgium,07-05-21,Oxford/AstraZeneca,1004987
Belgium,07-05-21,Pfizer/BioNTech,3351831
Belgium,14-05-21,Johnson&Johnson,29382
Belgium,14-05-21,Moderna,399060
Belgium,14-05-21,Oxford/AstraZeneca,1098369
Belgium,14-05-21,Pfizer/BioNTech,3802793
Belgium,21-05-21,Johnson&Johnson,49679
Belgium,21-05-21,Moderna,500686
Belgium,21-05-21,Oxford/AstraZeneca,1364959
Belgium,21-05-21,Pfizer/BioNTech,4171252
Belgium,28-05-21,Johnson&Johnson,73313
Belgium,28-05-21,Moderna,574945
Belgium,28-05-21,Oxford/AstraZeneca,1464598
Belgium,28-05-21,Pfizer/BioNTech,4612546
Belgium,04-06-21,Johnson&Johnson,97029
Belgium,04-06-21,Moderna,651065
Belgium,04-06-21,Oxford/AstraZeneca,1567695
Belgium,04-06-21,Pfizer/BioNTech,5310459
Belgium,11-06-21,Johnson&Johnson,142949
Belgium,11-06-21,Moderna,737271
Belgium,11-06-21,Oxford/AstraZeneca,1754444
Belgium,11-06-21,Pfizer/BioNTech,6063128
Belgium,18-06-21,Johnson&Johnson,212209
Belgium,18-06-21,Moderna,843440
Belgium,18-06-21,Oxford/AstraZeneca,1889134
Belgium,18-06-21,Pfizer/BioNTech,6775033
Belgium,25-06-21,Johnson&Johnson,243005
Belgium,25-06-21,Moderna,955892
